2023-11-28 23:14:17.197 DEBUG:   (start of logging session)
2023-11-28 23:14:17.200 DEBUG:   Writing log hardcopy to path: '/var/lib/jupyter/notebooks/run_logs/231128-231417-231128-135539-cci_normalization_special-62d1f89.run_log.txt'
2023-11-28 23:14:17.203 DEBUG:   Copying script contents to path: '/var/lib/jupyter/notebooks/run_logs/231128-231417-231128-135539-cci_normalization_special-62d1f89.script_contents.txt'
2023-11-28 23:14:17.331 INFO:    Run info: run ID: '231128-231417-231128-135539-cci_normalization_special-62d1f89'
2023-11-28 23:14:17.334 INFO:    Run info: source hash: '15e287a32fd91d700efa6852c7cf7af580443520'
2023-11-28 23:14:17.338 INFO:    Run info: config hash: 'b526ffb8953716b9ea1f4ad31a6144b338f0da00'
2023-11-28 23:14:17.346 INFO:    Run info: script hash: '62d1f896caf25f7dbff002425247c8bfc481bd46'
2023-11-28 23:14:17.349 INFO:    Run info: 'operator': 'GC'
2023-11-28 23:14:17.351 INFO:    Run info: 'flowcell_id': 'P05-S08'
2023-11-28 23:14:17.354 INFO:    Run info: 'source_plate_id': 'AC31127FR crazyplate seeded by Freckles on 11/27'
2023-11-28 23:14:17.356 INFO:    Run info: 'stock_plate_id': 'AC31128AR'
2023-11-28 23:14:17.359 INFO:    Run info: 'dupe_plate_id': ''
2023-11-28 23:14:17.362 INFO:    Run info: 'comment': 'CCI norm for CTG. Using 2mL 96w assay block to hold reagents.'
2023-11-28 23:14:17.365 INFO:    Robot info: name: OT2-SWEETPEA
2023-11-28 23:14:17.370 INFO:    Pipette info (1ch): model: 'p300_single_v2.1'
2023-11-28 23:14:17.378 INFO:    Pipette info (1ch): serial number: 'P3HSV212021031904'
2023-11-28 23:14:17.383 INFO:    Pipette info (8ch): model: 'p300_multi_v2.0'
2023-11-28 23:14:17.388 INFO:    Pipette info (8ch): serial number: 'P3HMV202020052706'
2023-11-28 23:14:17.448 DEBUG:   Labware of type 'usa_12well_22ml_reservoir_lifted_76mm5' loaded on slot 9
2023-11-28 23:14:17.655 DEBUG:   Labware of type 'tilted_plate' loaded on slot 3
2023-11-28 23:14:17.769 DEBUG:   Labware of type 'corning_96_wellplate_360ul_flat' loaded on slot 2
2023-11-28 23:14:17.814 DEBUG:   Labware of type 'cci25_right' loaded on slot 6
2023-11-28 23:14:17.827 NOTICE:  Protocol starting: CCI normalization (modified) (231128-231417-231128-135539-cci_normalization_special-62d1f89)
2023-11-28 23:14:17.835 DEBUG:   Running protocol in profiler
2023-11-28 23:14:17.838 DEBUG:   Writing profiler data to: '/var/lib/jupyter/notebooks/run_logs/231128-231417-231128-135539-cci_normalization_special-62d1f89.pstat.dmp'
2023-11-28 23:14:17.967 DEBUG:   Tiprack of type 'opentrons_96_filtertiprack_200ul' loaded on slot 5 for pipette '8ch'
2023-11-28 23:14:18.113 DEBUG:   Tiprack of type 'opentrons_96_filtertiprack_200ul' loaded on slot 8 for pipette '8ch'
2023-11-28 23:14:18.826 DEBUG:   Tiprack of type 'opentrons_96_filtertiprack_200ul' loaded on slot 4 for pipette '8ch'
2023-11-28 23:14:18.980 DEBUG:   Tiprack of type 'opentrons_96_filtertiprack_200ul' loaded on slot 7 for pipette '8ch'
2023-11-28 23:14:19.208 DEBUG:   Tiprack of type 'opentrons_96_filtertiprack_200ul' loaded on slot 10 for pipette '8ch'
2023-11-28 23:14:19.343 DEBUG:   Tiprack of type 'opentrons_96_filtertiprack_200ul' loaded on slot 11 for pipette '1ch'
2023-11-28 23:14:19.356 INFO:    Attempting to connect to CCI...
2023-11-28 23:14:19.709 INFO:    Connected to CCI, started new counting record.
2023-11-28 23:14:19.713 INFO:    Setting tempdeck to 41.0 °C...
2023-11-28 23:14:20.628 INFO:    Tempdeck reached setpoint.
2023-11-28 23:14:26.951 INFO:    Priming CCI with 1 x 200.0 μL of 'pbs'.
2023-11-28 23:15:05.433 INFO:    Running CCI background scan...
2023-11-28 23:16:20.497 INFO:    CCI background scan complete.
2023-11-28 23:16:30.036 INFO:    Flushing CCI with 1 x 200.0 μL of 'pbs'.
2023-11-28 23:17:05.217 INFO:    Starting to aspirate old media from set 0 (plate cols 1,2,3,4)...
2023-11-28 23:18:51.777 INFO:    Aspirating old media from set 0 complete.
2023-11-28 23:18:51.785 INFO:    Starting to wash set 0 (plate cols 1,2,3,4)...
2023-11-28 23:21:14.344 INFO:    Washing set 0 complete.
2023-11-28 23:21:14.354 INFO:    Starting to add trypsin to set 0 (plate cols 1,2,3,4)...
2023-11-28 23:21:24.598 DEBUG:   Dispensed 60.0 μL trypsin for column 1
2023-11-28 23:21:30.782 DEBUG:   Dispensed 60.0 μL trypsin for column 2
2023-11-28 23:21:36.873 DEBUG:   Dispensed 60.0 μL trypsin for column 3
2023-11-28 23:21:42.961 DEBUG:   Dispensed 60.0 μL trypsin for column 4
2023-11-28 23:21:56.261 INFO:    Adding trypsin to set 0 complete.
2023-11-28 23:21:56.272 INFO:    Starting to aspirate old media from set 1 (plate cols 5,6,7,8)...
2023-11-28 23:23:43.068 INFO:    Aspirating old media from set 1 complete.
2023-11-28 23:23:43.079 INFO:    Starting to wash set 1 (plate cols 5,6,7,8)...
2023-11-28 23:26:04.907 INFO:    Washing set 1 complete.
2023-11-28 23:26:04.914 INFO:    Starting to add trypsin to set 1 (plate cols 5,6,7,8)...
2023-11-28 23:26:14.962 DEBUG:   Dispensed 60.0 μL trypsin for column 5
2023-11-28 23:26:21.001 DEBUG:   Dispensed 60.0 μL trypsin for column 6
2023-11-28 23:26:27.031 DEBUG:   Dispensed 60.0 μL trypsin for column 7
2023-11-28 23:26:33.056 DEBUG:   Dispensed 60.0 μL trypsin for column 8
2023-11-28 23:26:46.356 INFO:    Adding trypsin to set 1 complete.
2023-11-28 23:26:46.361 INFO:    Waiting to quench set 0 (plate cols 1,2,3,4)...
2023-11-28 23:29:43.694 INFO:    Starting to quench set 0 (plate cols 1,2,3,4)...
2023-11-28 23:29:55.846 DEBUG:   Dispensed 200.0 μL media to quench column 1
2023-11-28 23:30:04.028 DEBUG:   Dispensed 200.0 μL media to quench column 2
2023-11-28 23:30:12.177 DEBUG:   Dispensed 200.0 μL media to quench column 3
2023-11-28 23:30:20.245 DEBUG:   Dispensed 200.0 μL media to quench column 4
2023-11-28 23:30:33.594 INFO:    Quenching set 0 complete.
2023-11-28 23:30:33.603 INFO:    Starting to aspirate old media from set 2 (plate cols 9,10,11,12)...
2023-11-28 23:32:21.008 INFO:    Aspirating old media from set 2 complete.
2023-11-28 23:32:21.021 INFO:    Starting to wash set 2 (plate cols 9,10,11,12)...
2023-11-28 23:34:45.241 INFO:    Washing set 2 complete.
2023-11-28 23:34:45.249 INFO:    Starting to add trypsin to set 2 (plate cols 9,10,11,12)...
2023-11-28 23:34:55.972 DEBUG:   Dispensed 60.0 μL trypsin for column 9
2023-11-28 23:35:01.947 DEBUG:   Dispensed 60.0 μL trypsin for column 10
2023-11-28 23:35:07.864 DEBUG:   Dispensed 60.0 μL trypsin for column 11
2023-11-28 23:35:13.841 DEBUG:   Dispensed 60.0 μL trypsin for column 12
2023-11-28 23:35:27.174 INFO:    Adding trypsin to set 2 complete.
2023-11-28 23:35:27.185 INFO:    Starting to quench set 1 (plate cols 5,6,7,8)...
2023-11-28 23:35:40.002 DEBUG:   Dispensed 200.0 μL media to quench column 5
2023-11-28 23:35:48.020 DEBUG:   Dispensed 200.0 μL media to quench column 6
2023-11-28 23:35:56.017 DEBUG:   Dispensed 200.0 μL media to quench column 7
2023-11-28 23:36:04.009 DEBUG:   Dispensed 200.0 μL media to quench column 8
2023-11-28 23:36:17.310 INFO:    Quenching set 1 complete.
2023-11-28 23:36:23.378 INFO:    Mixing at source plate location 'A1', 15 cycles for stage 'postquench', well vol 260.0 μL, plunger boost ON
2023-11-28 23:36:24.617 DEBUG:   Enabling plunger boost for pipette '8ch', max speed 150.0, accel 1000.0
2023-11-28 23:36:49.518 DEBUG:   Disabling plunger boost for pipette '8ch'
2023-11-28 23:36:50.393 INFO:    Loading CCI from source column 1.
2023-11-28 23:37:58.470 INFO:    Running CCI counting scan for source plate column 1...
2023-11-28 23:39:13.679 INFO:    CCI counting scan complete.
2023-11-28 23:39:13.686 INFO:    Well A1: density = 95.4 cells/μL, valid_area = 96%
2023-11-28 23:39:13.690 INFO:    Well B1: density = 82.8 cells/μL, valid_area = 97%
2023-11-28 23:39:13.696 INFO:    Well C1: density = 117.9 cells/μL, valid_area = 97%
2023-11-28 23:39:13.700 INFO:    Well D1: density = 118.3 cells/μL, valid_area = 98%
2023-11-28 23:39:13.703 INFO:    Well E1: density = 104.5 cells/μL, valid_area = 98%
2023-11-28 23:39:13.706 INFO:    Well F1: density = 131.1 cells/μL, valid_area = 98%
2023-11-28 23:39:13.710 INFO:    Well G1: density = 36.3 cells/μL, valid_area = 98%
2023-11-28 23:39:13.713 INFO:    Well H1: density = 86.1 cells/μL, valid_area = 98%
2023-11-28 23:39:13.769 INFO:    Plate 'stock_plate' well A1: target = 12.5k cells, aliquot = 131.0 μL
2023-11-28 23:39:13.773 INFO:    Plate 'stock_plate' well B1: target = 12.5k cells, aliquot = 151.0 μL
2023-11-28 23:39:13.777 INFO:    Plate 'stock_plate' well C1: target = 12.5k cells, aliquot = 106.0 μL
2023-11-28 23:39:13.781 INFO:    Plate 'stock_plate' well D1: target = 12.5k cells, aliquot = 105.6 μL
2023-11-28 23:39:13.788 INFO:    Plate 'stock_plate' well E1: target = 12.5k cells, aliquot = 119.6 μL
2023-11-28 23:39:13.792 INFO:    Plate 'stock_plate' well F1: target = 12.5k cells, aliquot = 95.3 μL
2023-11-28 23:39:13.796 WARNING: Plate 'stock_plate' well G1: seeding target (12.5k cells -> 344.7 μL) out of pipetting range - aliquoting max volume (200.0 μL)
2023-11-28 23:39:13.805 INFO:    Plate 'stock_plate' well G1: target = 12.5k cells, aliquot = 200.0 μL
2023-11-28 23:39:13.808 INFO:    Plate 'stock_plate' well H1: target = 12.5k cells, aliquot = 145.2 μL
