2023-12-05 19:56:41.081 DEBUG:   (start of logging session)
2023-12-05 19:56:41.088 DEBUG:   Writing log hardcopy to path: '/var/lib/jupyter/notebooks/run_logs/231205-195641-231205-115235-cci_normalization-29bc6f9.run_log.txt'
2023-12-05 19:56:41.092 DEBUG:   Copying script contents to path: '/var/lib/jupyter/notebooks/run_logs/231205-195641-231205-115235-cci_normalization-29bc6f9.script_contents.txt'
2023-12-05 19:56:41.102 INFO:    Run info: run ID: '231205-195641-231205-115235-cci_normalization-29bc6f9'
2023-12-05 19:56:41.106 INFO:    Run info: source hash: '15e287a32fd91d700efa6852c7cf7af580443520'
2023-12-05 19:56:41.110 INFO:    Run info: config hash: 'a86d15a847eb5bf48356121549b1f8cd7fd0e363'
2023-12-05 19:56:41.114 INFO:    Run info: script hash: '29bc6f96f677274ff434c1335ddbc22041ace536'
2023-12-05 19:56:41.118 INFO:    Run info: 'operator': 'GC'
2023-12-05 19:56:41.121 INFO:    Run info: 'flowcell_id': 'P05-S08'
2023-12-05 19:56:41.125 INFO:    Run info: 'source_plate_id': 'AC31204SR'
2023-12-05 19:56:41.129 INFO:    Run info: 'stock_plate_id': 'AC31205AR CTG test plate'
2023-12-05 19:56:41.134 INFO:    Run info: 'dupe_plate_id': ''
2023-12-05 19:56:41.140 INFO:    Run info: 'comment': 'CCI norm for CTG'
2023-12-05 19:56:41.145 INFO:    Robot info: name: OT2-SWEETPEA
2023-12-05 19:56:41.152 INFO:    Pipette info (1ch): model: 'p300_single_v2.1'
2023-12-05 19:56:41.159 INFO:    Pipette info (1ch): serial number: 'P3HSV212021031904'
2023-12-05 19:56:41.165 INFO:    Pipette info (8ch): model: 'p300_multi_v2.0'
2023-12-05 19:56:41.171 INFO:    Pipette info (8ch): serial number: 'P3HMV202020052706'
2023-12-05 19:56:41.228 DEBUG:   Labware of type 'usa_12well_22ml_reservoir_lifted_76mm5' loaded on slot 9
2023-12-05 19:56:41.382 DEBUG:   Labware of type 'tilted_plate' loaded on slot 3
2023-12-05 19:56:41.477 DEBUG:   Labware of type 'corning_96_wellplate_360ul_flat' loaded on slot 2
2023-12-05 19:56:41.519 DEBUG:   Labware of type 'cci25_right' loaded on slot 6
2023-12-05 19:56:41.528 NOTICE:  Protocol starting: CCI normalization (231205-195641-231205-115235-cci_normalization-29bc6f9)
2023-12-05 19:56:41.534 DEBUG:   Running protocol in profiler
2023-12-05 19:56:41.538 DEBUG:   Writing profiler data to: '/var/lib/jupyter/notebooks/run_logs/231205-195641-231205-115235-cci_normalization-29bc6f9.pstat.dmp'
2023-12-05 19:56:41.733 DEBUG:   Tiprack of type 'opentrons_96_filtertiprack_200ul' loaded on slot 5 for pipette '8ch'
2023-12-05 19:56:41.864 DEBUG:   Tiprack of type 'opentrons_96_filtertiprack_200ul' loaded on slot 8 for pipette '8ch'
2023-12-05 19:56:41.988 DEBUG:   Tiprack of type 'opentrons_96_filtertiprack_200ul' loaded on slot 4 for pipette '8ch'
2023-12-05 19:56:42.109 DEBUG:   Tiprack of type 'opentrons_96_filtertiprack_200ul' loaded on slot 7 for pipette '8ch'
2023-12-05 19:56:42.232 DEBUG:   Tiprack of type 'opentrons_96_filtertiprack_200ul' loaded on slot 10 for pipette '8ch'
2023-12-05 19:56:42.366 DEBUG:   Tiprack of type 'opentrons_96_filtertiprack_200ul' loaded on slot 11 for pipette '1ch'
2023-12-05 19:56:42.374 INFO:    Attempting to connect to CCI...
2023-12-05 19:56:42.454 INFO:    Connected to CCI, started new counting record.
2023-12-05 19:56:42.458 INFO:    Setting tempdeck to 41.0 °C...
2023-12-05 19:56:42.694 INFO:    Tempdeck reached setpoint.
2023-12-05 19:56:48.988 INFO:    Priming CCI with 1 x 200.0 μL of 'pbs'.
2023-12-05 19:57:27.413 INFO:    Running CCI background scan...
2023-12-05 19:58:41.833 INFO:    CCI background scan complete.
2023-12-05 19:58:51.284 INFO:    Flushing CCI with 1 x 200.0 μL of 'pbs'.
2023-12-05 19:59:26.084 INFO:    Starting to aspirate old media from set 0 (plate cols 1,2,3,4)...
2023-12-05 20:01:11.935 INFO:    Aspirating old media from set 0 complete.
2023-12-05 20:01:11.943 INFO:    Starting to wash set 0 (plate cols 1,2,3,4)...
2023-12-05 20:03:33.455 INFO:    Washing set 0 complete.
2023-12-05 20:03:33.468 INFO:    Starting to add trypsin to set 0 (plate cols 1,2,3,4)...
2023-12-05 20:03:43.637 DEBUG:   Dispensed 60.0 μL trypsin for column 1
2023-12-05 20:03:49.676 DEBUG:   Dispensed 60.0 μL trypsin for column 2
2023-12-05 20:03:55.702 DEBUG:   Dispensed 60.0 μL trypsin for column 3
2023-12-05 20:04:01.711 DEBUG:   Dispensed 60.0 μL trypsin for column 4
2023-12-05 20:04:14.974 INFO:    Adding trypsin to set 0 complete.
2023-12-05 20:04:14.984 INFO:    Starting to aspirate old media from set 1 (plate cols 5,6,7,8)...
2023-12-05 20:06:01.178 INFO:    Aspirating old media from set 1 complete.
2023-12-05 20:06:01.190 INFO:    Starting to wash set 1 (plate cols 5,6,7,8)...
2023-12-05 20:08:22.097 INFO:    Washing set 1 complete.
2023-12-05 20:08:22.107 INFO:    Starting to add trypsin to set 1 (plate cols 5,6,7,8)...
2023-12-05 20:08:32.041 DEBUG:   Dispensed 60.0 μL trypsin for column 5
2023-12-05 20:08:38.019 DEBUG:   Dispensed 60.0 μL trypsin for column 6
2023-12-05 20:08:43.965 DEBUG:   Dispensed 60.0 μL trypsin for column 7
2023-12-05 20:08:49.879 DEBUG:   Dispensed 60.0 μL trypsin for column 8
2023-12-05 20:09:03.093 INFO:    Adding trypsin to set 1 complete.
2023-12-05 20:09:03.098 INFO:    Waiting to quench set 0 (plate cols 1,2,3,4)...
2023-12-05 20:12:02.399 INFO:    Starting to quench set 0 (plate cols 1,2,3,4)...
2023-12-05 20:12:14.331 DEBUG:   Dispensed 200.0 μL media to quench column 1
2023-12-05 20:12:22.349 DEBUG:   Dispensed 200.0 μL media to quench column 2
2023-12-05 20:12:30.372 DEBUG:   Dispensed 200.0 μL media to quench column 3
2023-12-05 20:12:38.319 DEBUG:   Dispensed 200.0 μL media to quench column 4
2023-12-05 20:12:51.565 INFO:    Quenching set 0 complete.
2023-12-05 20:12:51.574 INFO:    Starting to aspirate old media from set 2 (plate cols 9,10,11,12)...
2023-12-05 20:14:38.356 INFO:    Aspirating old media from set 2 complete.
2023-12-05 20:14:38.366 INFO:    Starting to wash set 2 (plate cols 9,10,11,12)...
2023-12-05 20:17:01.761 INFO:    Washing set 2 complete.
2023-12-05 20:17:01.772 INFO:    Starting to add trypsin to set 2 (plate cols 9,10,11,12)...
2023-12-05 20:17:12.385 DEBUG:   Dispensed 60.0 μL trypsin for column 9
2023-12-05 20:17:18.267 DEBUG:   Dispensed 60.0 μL trypsin for column 10
2023-12-05 20:17:24.150 DEBUG:   Dispensed 60.0 μL trypsin for column 11
2023-12-05 20:17:30.008 DEBUG:   Dispensed 60.0 μL trypsin for column 12
2023-12-05 20:17:43.235 INFO:    Adding trypsin to set 2 complete.
2023-12-05 20:17:43.243 INFO:    Starting to quench set 1 (plate cols 5,6,7,8)...
2023-12-05 20:17:55.890 DEBUG:   Dispensed 200.0 μL media to quench column 5
2023-12-05 20:18:03.821 DEBUG:   Dispensed 200.0 μL media to quench column 6
2023-12-05 20:18:11.772 DEBUG:   Dispensed 200.0 μL media to quench column 7
2023-12-05 20:18:19.670 DEBUG:   Dispensed 200.0 μL media to quench column 8
2023-12-05 20:18:32.927 INFO:    Quenching set 1 complete.
2023-12-05 20:18:38.904 INFO:    Mixing at source plate location 'A1', 15 cycles for stage 'postquench', well vol 260.0 μL, plunger boost ON
2023-12-05 20:18:40.112 DEBUG:   Enabling plunger boost for pipette '8ch', max speed 150.0, accel 1000.0
2023-12-05 20:19:04.184 DEBUG:   Disabling plunger boost for pipette '8ch'
2023-12-05 20:19:05.003 INFO:    Loading CCI from source column 1.
2023-12-05 20:20:13.035 INFO:    Running CCI counting scan for source plate column 1...
2023-12-05 20:21:33.194 INFO:    CCI counting scan complete.
2023-12-05 20:21:33.199 INFO:    Well A1: density = 250.2 cells/μL, valid_area = 95%
2023-12-05 20:21:33.203 INFO:    Well B1: density = 205.5 cells/μL, valid_area = 97%
2023-12-05 20:21:33.208 INFO:    Well C1: density = 402.5 cells/μL, valid_area = 97%
2023-12-05 20:21:33.213 INFO:    Well D1: density = 191.5 cells/μL, valid_area = 98%
